Campaign,Spent,Revenue
Summer Sale,5000,12500
Holiday Promotion,7500,18750
Back-to-School Campaign,6000,14000
Spring Clearance,4000,10000
Black Friday Deals,10000,22500
New Year's Special,9000,20000
Valentine's Day Sale,4500,11000
Mother's Day Promotion,5500,13750
Easter Discounts,6500,16000
Cyber Monday Offers,8500,19000
Christmas Bonanza,11000,25000
Halloween Sale,7000,18000
Independence Day Deals,8000,19500
Labor Day Offers,6000,15500
Memorial Day Special,5000,13000
End of Year Clearance,9500,21500
Summer Fashion Sale,7500,19000
Winter Wonderland Deals,8500,22000
Spring Break Promotion,6000,16500
International Women's Day Sale,4500,12000
